length,unit_id,pred,score,hin_score_in_top5,top5
L1,35,anp_Deva,0.9876276850700378,0.009514433331787586,"[[0.9876276850700378, ""anp_Deva""], [0.009514433331787586, ""hin_Deva""], [0.0014458061195909977, ""new_Deva""], [0.0012112450785934925, ""mai_Deva""], [8.684868953423575e-05, ""awa_Deva""]]"
L1,235,anp_Deva,0.9792848229408264,0.018145767971873283,"[[0.9792848229408264, ""anp_Deva""], [0.018145767971873283, ""hin_Deva""], [0.0018713601166382432, ""awa_Deva""], [0.0006875740364193916, ""new_Deva""], [4.651757626561448e-05, ""mai_Deva""]]"
L1,347,anp_Deva,0.9989446997642517,6.33130912319757e-05,"[[0.9989446997642517, ""anp_Deva""], [0.0005878735682927072, ""snd_Deva""], [0.0004165166465099901, ""awa_Deva""], [6.33130912319757e-05, ""hin_Deva""], [3.3104584872489795e-05, ""doi_Deva""]]"
L1,503,anp_Deva,0.9808602929115295,0.0187821201980114,"[[0.9808602929115295, ""anp_Deva""], [0.0187821201980114, ""hin_Deva""], [0.0002769630227703601, ""mai_Deva""], [7.677801477257162e-05, ""awa_Deva""], [3.162345819873735e-05, ""new_Deva""]]"
L1,838,anp_Deva,0.950352668762207,0.02248246967792511,"[[0.950352668762207, ""anp_Deva""], [0.026926295831799507, ""awa_Deva""], [0.02248246967792511, ""hin_Deva""], [0.00019427886581979692, ""mai_Deva""], [8.879521192284301e-05, ""new_Deva""]]"
L1,866,anp_Deva,0.933203935623169,0.05869616940617561,"[[0.933203935623169, ""anp_Deva""], [0.05869616940617561, ""hin_Deva""], [0.006758193019777536, ""new_Deva""], [0.0007027307874523103, ""bho_Deva""], [0.0004950471920892596, ""awa_Deva""]]"
L1,1064,anp_Deva,0.9342047572135925,0.06465547531843185,"[[0.9342047572135925, ""anp_Deva""], [0.06465547531843185, ""hin_Deva""], [0.0005294958245940506, ""mai_Deva""], [0.0004521857772488147, ""awa_Deva""], [8.580650319345295e-05, ""mag_Deva""]]"
L1,1251,anp_Deva,0.9927113056182861,0.006334277801215649,"[[0.9927113056182861, ""anp_Deva""], [0.006334277801215649, ""hin_Deva""], [0.00046861430746503174, ""mai_Deva""], [0.00039918083348311484, ""new_Deva""], [0.00010542560630710796, ""awa_Deva""]]"
L1,1329,anp_Deva,0.8766824007034302,0.12253114581108093,"[[0.8766824007034302, ""anp_Deva""], [0.12253114581108093, ""hin_Deva""], [0.0004855906299781054, ""awa_Deva""], [0.0001422552886651829, ""mai_Deva""], [0.00012247698032297194, ""mag_Deva""]]"
L1,1350,anp_Deva,0.999980092048645,2.9791781344101764e-05,"[[0.999980092048645, ""anp_Deva""], [2.9791781344101764e-05, ""hin_Deva""], [1.920605791383423e-05, ""awa_Deva""], [1.0694941011024639e-05, ""mai_Deva""], [1.0234618457616307e-05, ""new_Deva""]]"
L1,1352,awa_Deva,0.9684019684791565,0.026371734216809273,"[[0.9684019684791565, ""awa_Deva""], [0.026371734216809273, ""hin_Deva""], [0.004311169497668743, ""mai_Deva""], [0.0007699579582549632, ""mar_Deva""], [9.09173977561295e-05, ""san_Deva""]]"
L1,1363,anp_Deva,0.9762040376663208,0.015643682330846786,"[[0.9762040376663208, ""anp_Deva""], [0.015643682330846786, ""hin_Deva""], [0.00771046569570899, ""awa_Deva""], [0.0004731365479528904, ""mai_Deva""], [1.7148538972833194e-05, ""new_Deva""]]"
L1,1371,hin_Deva,0.9073764085769653,0.9073764085769653,"[[0.9073764085769653, ""hin_Deva""], [0.08990389853715897, ""anp_Deva""], [0.0016680991975590587, ""awa_Deva""], [0.00048079044790938497, ""mai_Deva""], [0.000370472960639745, ""new_Deva""]]"
L1,1419,anp_Deva,0.5609177350997925,0.010568895377218723,"[[0.5609177350997925, ""anp_Deva""], [0.42812997102737427, ""awa_Deva""], [0.010568895377218723, ""hin_Deva""], [0.0002523444127291441, ""new_Deva""], [0.00012343052367214113, ""mai_Deva""]]"
L1,1516,anp_Deva,0.8747085928916931,0.11932740360498428,"[[0.8747085928916931, ""anp_Deva""], [0.11932740360498428, ""hin_Deva""], [0.005953139625489712, ""awa_Deva""], [2.6045167032862082e-05, ""mar_Deva""], [2.014254278037697e-05, ""new_Deva""]]"
L1,1686,anp_Deva,0.8347942233085632,0.005783152766525745,"[[0.8347942233085632, ""anp_Deva""], [0.158513605594635, ""new_Deva""], [0.005783152766525745, ""hin_Deva""], [0.0006325343274511397, ""awa_Deva""], [0.0003220855724066496, ""mai_Deva""]]"
L1,1939,anp_Deva,0.8492960333824158,0.1268056482076645,"[[0.8492960333824158, ""anp_Deva""], [0.1268056482076645, ""hin_Deva""], [0.015623211860656738, ""awa_Deva""], [0.005437066312879324, ""mag_Deva""], [0.0016142621170729399, ""bho_Deva""]]"
L1,2213,anp_Deva,0.9989770650863647,4.2061572457896546e-05,"[[0.9989770650863647, ""anp_Deva""], [0.0008215555571950972, ""awa_Deva""], [0.0001790854730643332, ""mai_Deva""], [4.2061572457896546e-05, ""hin_Deva""], [2.6898516807705164e-05, ""new_Deva""]]"
L1,2271,hin_Deva,0.9799557328224182,0.9799557328224182,"[[0.9799557328224182, ""hin_Deva""], [0.013583795167505741, ""new_Deva""], [0.005196579732000828, ""anp_Deva""], [0.0006150022381916642, ""doi_Deva""], [0.0005021280376240611, ""sck_Deva""]]"
L1,2284,hin_Deva,0.9956952333450317,0.9956952333450317,"[[0.9956952333450317, ""hin_Deva""], [0.003022988559678197, ""anp_Deva""], [0.0007472345023415983, ""new_Deva""], [0.000287383038084954, ""awa_Deva""], [0.00014657163410447538, ""mai_Deva""]]"
L1,2348,hin_Deva,0.8588171005249023,0.8588171005249023,"[[0.8588171005249023, ""hin_Deva""], [0.08119574934244156, ""awa_Deva""], [0.05415928363800049, ""anp_Deva""], [0.0035861749202013016, ""mai_Deva""], [0.0009455681429244578, ""mag_Deva""]]"
