source,corpus,lang,length,unit_id,source_url,sentence_ids,text_sha256
Wikipedia,hin_wikipedia_2021_300K,hin,L1,2,http://hi.wikipedia.org/wiki/श्री_गायत्री_देवी,2185,e0a462ca1e01deef5f2ae5a85cece528d6db2ae5e6547044d688ff0067c9831f
Wikipedia,hin_wikipedia_2021_300K,hin,L5,2,http://hi.wikipedia.org/wiki/श्री_गायत्री_देवी,2185 6501 6531 6602 6778,a6f0f860ce7dca9bf027c5ecdf6420116169bf3fac5302f3cca357939d48362c
Wikipedia,hin_wikipedia_2021_300K,hin,L20,2,http://hi.wikipedia.org/wiki/श्री_गायत्री_देवी,2185 6501 6531 6602 6778 7078 7150 8034 9173 9674 9719 11130 16703 19426 20200 20360 23329 24817 25269 25379,5462caeb38274082a69828e08aef82075c2f33b96b588b6a9ed204941f24d8c4
Wikipedia,hin_wikipedia_2021_300K,hin,L1,3,http://hi.wikipedia.org/wiki/कीट,6001,740a4fa476c1cfdec669dffdc725fc3e3ca5310643e6b8f57ce12406e30d4ebb
Wikipedia,hin_wikipedia_2021_300K,hin,L5,3,http://hi.wikipedia.org/wiki/कीट,6001 8280 9621 9650 9668,5f35652b0ff8673603eb572088aa7443ec36d01ec3381ed632cda2c658da1693
Wikipedia,hin_wikipedia_2021_300K,hin,L20,3,http://hi.wikipedia.org/wiki/कीट,6001 8280 9621 9650 9668 17333 17348 17361 17370 17641 18833 23045 23222 23938 24419 25683 25684 25685 25692 25824,3d6457a3e0a750b549266fbfcdf570bb7bd91c96463828e0ae8251c8f345cdf3
Wikipedia,hin_wikipedia_2021_300K,hin,L1,4,http://hi.wikipedia.org/wiki/ऑस्ट्रेलिया_का_इतिहास,3843,c4904cb8223080d54799829fa4c76b0dea6fe5e30d28871107865a354d376e61
Wikipedia,hin_wikipedia_2021_300K,hin,L5,4,http://hi.wikipedia.org/wiki/ऑस्ट्रेलिया_का_इतिहास,3843 3844 3849 3860 3865,78e356fef2712b5c66fff89f35dac1eb9507b74f878085bb1707ebd0b2a9d128
Wikipedia,hin_wikipedia_2021_300K,hin,L20,4,http://hi.wikipedia.org/wiki/ऑस्ट्रेलिया_का_इतिहास,3843 3844 3849 3860 3865 3866 6042 9631 10156 10463 12004 12465 22054 22675 22959 28558 31093 31370 34209 34675,5ac8dbb4387906190e3923b1c87da49c149d6499fcde241af5c2cb08319da21e
Wikipedia,hin_wikipedia_2021_300K,hin,L1,8,http://hi.wikipedia.org/wiki/बुद्धचरित,9059,83e631d55134feffab47c14b2bb5627f7f17e88626eaa7b3a8f8ca1bbb71573e
