uid,lang,domain,source,cluster,state,chars,band,cld3,langid,reader1,reader2,confirmed,both_confirmed,historical_v3,panel_text_match,source_file,source_record,text_sha256
2813,hi,read_speech_fleurs,fleurs,f1681hi,,215,200-399,hi,hi,Hindi,Hindi,true,true,hin_Deva,false,fleurs_hi_transcripts.json,doc:502,3472864b794a5c7ded8309e08c41ac75c73de6277d8c41557d15225504cec062
6029,hi,conversation,indicvoices,S4258203800376610,Uttar Pradesh,131,100-199,hi,hi,Hindi,Hindi,true,true,hin_Deva,false,indicvoices_rows.json,row:hindi:1262,4b6e20b984ac4679a7d375410fcd2352b16f1ad58534da3b8b232c82623c6097
4984,hi,extempore,indicvoices,S4256066300326902,Bihar,160,100-199,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:217,02c173ef919b76a54cee13ee118c1e8064bf0b421e009d764015d089fd265f0d
6970,ne,formal_written_sentence,wikipedia_sentence,w10027,,98,40-99,ne,ne,Nepali,,true,false,npi_Deva,false,wikipedia_ne_extracts.json,doc:35:sentence:12,49bc8b50db75da378745fd0c010ec04278f840e9c715163d92912d43c74cf07a
2150,ne,read_speech_fleurs,fleurs,f1821ne,,104,100-199,ne,ne,Nepali,,true,false,npi_Deva,false,fleurs_ne_transcripts.json,doc:869,4d866d56eae75135999f09a14663433b8b71bccf62b33a8bbdb941be21f39862
4331,ne,read_speech_iv,indicvoices,S4258010000311869,West Bengal,110,100-199,ne,ne,Nepali,Nepali,true,true,npi_Deva,false,indicvoices_rows.json,row:nepali:1364,a7fb7edadd11a120d416ef08ac2c23102ce9ec05daad773cb4eb274ae1c73659
4600,ne,conversation,indicvoices,S4256978800325427,West Bengal,147,100-199,ne,ne,Nepali,Nepali,true,true,npi_Deva,false,indicvoices_rows.json,row:nepali:1633,29b6ccff95c82ab2ea94ec889e10ecedfa43c6e09f66d232b763130e10d7ca1f
935,hi,formal_written,wikipedia,w564703,,195,100-199,hi,hi,Hindi,Hindi,true,true,hin_Deva,false,wikipedia_hi_extracts.json,doc:279,dc8d78db892d9ec1384c1585e4f83961b95f112a9a0d16dcbd6ca8ea630807e9
7731,hi,formal_written_sentence,wikipedia_sentence,w748610,,169,100-199,hi,hi,Hindi,,true,false,hin_Deva,false,wikipedia_hi_extracts.json,doc:349:sentence:9,0bd815c6ad7e42090c672e2307bea2724b48bdfed5c952c8f6c8cc018aa3a2cc
4275,ne,read_speech_iv,indicvoices,S4257003900347171,West Bengal,84,40-99,ne,ne,Both or code-switched,,false,false,npi_Deva,false,indicvoices_rows.json,row:nepali:1308,08dc7cc4e081704ac251e26c5b7f903f395542d856cf77d3c28f6142c1153b77
1215,hi,formal_written,wikipedia,w1409660,,1543,400+,hi,hi,Hindi,,true,false,hin_Deva,false,wikipedia_hi_extracts.json,doc:530,b11a692c83b74ce98986e0a86302edea56dd6ba06b8a1a424ed41cbd5b8b5729
4383,ne,conversation,indicvoices,S4258730100392052,West Bengal,107,100-199,ne,ne,Nepali,,true,false,npi_Deva,false,indicvoices_rows.json,row:nepali:1416,849c8a5be4253707eb228796c091a26ab5b3d71865d5b02088bb501be740aa93
7192,hi,formal_written_sentence,wikipedia_sentence,w1393455,,63,40-99,hi,mr,Hindi,,true,false,anp_Deva,false,wikipedia_hi_extracts.json,doc:524:sentence:11,87f075f91adeeb63578b54d4a866a5933f873ebc6eb100f5b7307d3b4c5e6636
2471,hi,read_speech_fleurs,fleurs,f1547hi,,110,100-199,hi,hi,Hindi,,true,false,hin_Deva,false,fleurs_hi_transcripts.json,doc:161,842cb4e660580caca21a75fc6a1e0b7053589d2a562f89de380640d0474defc8
6821,ne,formal_written_sentence,wikipedia_sentence,w6084,,111,100-199,ne,ne,Nepali,,true,false,npi_Deva,false,wikipedia_ne_extracts.json,doc:20:sentence:5,8549e63b3cd21f60932af30a41aedec3cdb8733f6632340735fd43ee895f17a0
4356,ne,conversation,indicvoices,S4259003500380226,West Bengal,117,100-199,ne,ne,Nepali,,true,false,npi_Deva,false,indicvoices_rows.json,row:nepali:1389,e76923079448b1bab15d41205af47ad229c37f9a5a12c364e11bcfff36845ca5
2930,hi,read_speech_fleurs,fleurs,f1714hi,,169,100-199,hi,hi,Hindi,Hindi,true,true,hin_Deva,false,fleurs_hi_transcripts.json,doc:620,034e74b108f4d448c8a632c351502965ae6b91e56b44f14f12abd9c8c95e4b9d
6157,hi,read_speech_iv,indicvoices,S4257864100349789,Madhya Pradesh,103,100-199,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:1390,f6ce1873d586af2b859e22af1bdbc2dcaa4f7fcd7223bd055d2c49e01eac8b35
6073,hi,read_speech_iv,indicvoices,S4259804900365903,Madhya Pradesh,50,40-99,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:1306,93fa90f5ddf7618688a2d1a8609e8c612a1302b3700067378e2cd8f8fd92fc09
6475,hi,read_speech_iv,indicvoices,S4257008400384828,Madhya Pradesh,208,200-399,hi,hi,Hindi,,true,false,hin_Deva,false,indicvoices_rows.json,row:hindi:1708,3887023648d24dfbf4256a3668f06c74e7eb6ce25101cd218f6b744d3f9d0c14
4678,ne,conversation,indicvoices,S4257490800307569,West Bengal,199,100-199,ne,ne,Nepali,Nepali,true,true,npi_Deva,false,indicvoices_rows.json,row:nepali:1711,62b5cae35f83f26957640846209594b457ecf5e238a5fe122c772f271941ab1b
834,hi,formal_written,wikipedia,w268053,,101,100-199,hi,hi,Hindi,,true,false,awa_Deva,false,wikipedia_hi_extracts.json,doc:183,081b237739d2ddb5ea83e73d7b2128281dee82d2d9aecd26e5fb494ed398025c
1152,hi,formal_written,wikipedia,w1220582,,242,200-399,hi,hi,Hindi,Hindi,true,true,hin_Deva,false,wikipedia_hi_extracts.json,doc:472,e3412ad25ee2696270d8aaf6a391819a4602d9c518354eeaedddd5ee0abc91ee
2139,ne,read_speech_fleurs,fleurs,f1982ne,,123,100-199,ne,ne,Nepali,Nepali,true,true,npi_Deva,false,fleurs_ne_transcripts.json,doc:859,1ed0c6abc9fb51fd833fc123a4e47c03b7df978713c388f65cfe5325fe25c3a6
4414,ne,conversation,indicvoices,S4259183400364958,West Bengal,160,100-199,ne,ne,Cannot tell,,false,false,npi_Deva,false,indicvoices_rows.json,row:nepali:1447,32700dbf5210a6113d57943c153733dd553ea98b230b19f665f29aa20f112976
6915,ne,formal_written_sentence,wikipedia_sentence,w8811,,123,100-199,ne,ne,Nepali,,true,false,npi_Deva,false,wikipedia_ne_extracts.json,doc:32:sentence:9,2ea522315eb07fd7a09687773c49d09cf299aa1c9eeda475f1a171866966754f
4231,ne,conversation,indicvoices,S4259644800354773,West Bengal,116,100-199,ne,ne,Cannot tell,Nepali,false,false,npi_Deva,false,indicvoices_rows.json,row:nepali:1264,844c7fd271c957cbbc763ddb6f730b60bc1f95b92039182c24d3783f5a61b53e
2516,hi,read_speech_fleurs,fleurs,f1560hi,,83,40-99,hi,hi,Hindi,Hindi,true,true,hin_Deva,false,fleurs_hi_transcripts.json,doc:206,266340424d892c57c33ee24a167591c5fe75f323ccc22fe00a4c3ca37dec5de9
3737,ne,extempore,indicvoices,S4259502400394156,Assam,141,100-199,ne,ne,Cannot tell,Nepali,false,false,npi_Deva,false,indicvoices_rows.json,row:nepali:770,a7c88f72095de18e8def9055214889ac1bdcaa38dc3ef33c1f50e85d6f62218c
2573,hi,read_speech_fleurs,fleurs,f1779hi,,95,40-99,hi,hi,Hindi,Hindi,true,true,hin_Deva,false,fleurs_hi_transcripts.json,doc:262,3ae64c8cec13c7ffe24281b4e3a1022f373de807cba0514fc682e2751e02f99a
41,ne,formal_written,wikipedia,w12435,,4693,400+,ne,ne,Cannot tell,Nepali,false,false,npi_Deva,false,wikipedia_ne_extracts.json,doc:41,dad5089bba0dd448ab0fe1df688680ea55771298986a278e04e76f5c92a34563
7686,hi,formal_written_sentence,wikipedia_sentence,w1570696,,110,100-199,hi,hi,Hindi,,true,false,hin_Deva,false,wikipedia_hi_extracts_b.json,doc:619:sentence:14,a5b015869e2d74aa1b2b83208f85d8476874b40a49fec39599549b76a331970f
2316,hi,read_speech_fleurs,fleurs,f1648hi,,69,40-99,hi,hi,Hindi,,true,false,anp_Deva,false,fleurs_hi_transcripts.json,doc:6,66c09c245c2168f19d552696e6147769801fd3e2ba15fbdd748c77fd03c22037
